low,false_confident,false_abstain,fc_searches,fa_searches,n_absent,n_stocked
0.0,1.0,0.0,1.0,0.0,437,235
0.005,1.0,0.0,1.0,0.0,437,235
0.01,1.0,0.0,1.0,0.0,437,235
0.015,1.0,0.0,1.0,0.0,437,235
0.02,1.0,0.0,1.0,0.0,437,235
0.025,1.0,0.0,1.0,0.0,437,235
0.03,1.0,0.0,1.0,0.0,437,235
0.035,1.0,0.0,1.0,0.0,437,235
0.04,1.0,0.0,1.0,0.0,437,235
0.045,1.0,0.0,1.0,0.0,437,235
0.05,1.0,0.0,1.0,0.0,437,235
0.055,1.0,0.0,1.0,0.0,437,235
0.06,1.0,0.0,1.0,0.0,437,235
0.065,0.9954233409610984,0.0,0.9993366500829187,0.0,437,235
0.07,0.9954233409610984,0.0,0.9993366500829187,0.0,437,235
0.075,0.9954233409610984,0.0,0.9993366500829187,0.0,437,235
0.08,0.9931350114416476,0.0,0.9990049751243781,0.0,437,235
0.085,0.9908466819221968,0.0,0.9986733001658374,0.0,437,235
0.09,0.9839816933638444,0.0,0.9718076285240465,0.0,437,235
0.095,0.9816933638443935,0.0,0.9714759535655058,0.0,437,235
0.1,0.9816933638443935,0.0,0.9714759535655058,0.0,437,235
0.105,0.9794050343249427,0.0,0.9711442786069652,0.0,437,235
0.11,0.9748283752860412,0.0,0.9701492537313433,0.0,437,235
0.115,0.9725400457665904,0.0,0.945273631840796,0.0,437,235
0.12,0.9702517162471396,0.0,0.9449419568822554,0.0,437,235
0.125,0.9702517162471396,0.0,0.9449419568822554,0.0,437,235
0.13,0.965675057208238,0.0,0.9230514096185738,0.0,437,235
0.135,0.965675057208238,0.0,0.9230514096185738,0.0,437,235
0.14,0.9610983981693364,0.0,0.9223880597014925,0.0,437,235
0.145,0.9565217391304348,0.0,0.8981757877280265,0.0,437,235
0.15,0.9519450800915332,0.0,0.8975124378109453,0.0,437,235
0.155,0.9427917620137299,0.0,0.8961857379767828,0.0,437,235
0.16,0.9405034324942791,0.0,0.8958540630182421,0.0,437,235
0.165,0.931350114416476,0.0,0.8932006633499171,0.0,437,235
0.17,0.919908466819222,0.01276595744680851,0.8729684908789387,0.0007477567298105683,437,235
0.175,0.9084668192219679,0.01276595744680851,0.869983416252073,0.0007477567298105683,437,235
0.18,0.9016018306636155,0.01702127659574468,0.8192371475953566,0.0009970089730807576,437,235
0.185,0.88558352402746,0.01702127659574468,0.7980099502487562,0.0009970089730807576,437,235
0.19,0.8810068649885584,0.01702127659574468,0.7731343283582089,0.0009970089730807576,437,235
0.195,0.8810068649885584,0.029787234042553193,0.7731343283582089,0.001744765702891326,437,235
0.2,0.8810068649885584,0.03404255319148936,0.7731343283582089,0.0019940179461615153,437,235
0.205,0.8718535469107551,0.03404255319148936,0.7711442786069652,0.0019940179461615153,437,235
0.21,0.8581235697940504,0.03404255319148936,0.7565505804311774,0.0019940179461615153,437,235
0.215,0.8489702517162472,0.03829787234042553,0.7548922056384743,0.002243270189431705,437,235
0.22,0.8398169336384439,0.03829787234042553,0.723714759535655,0.002243270189431705,437,235
0.225,0.8306636155606407,0.0425531914893617,0.7223880597014926,0.0024925224327018943,437,235
0.23,0.8123569794050344,0.0425531914893617,0.6315091210613598,0.0024925224327018943,437,235
0.235,0.7917620137299771,0.0425531914893617,0.5585406301824213,0.0024925224327018943,437,235
0.24,0.7665903890160183,0.0425531914893617,0.554228855721393,0.0024925224327018943,437,235
0.245,0.7528604118993135,0.04680851063829787,0.5373134328358209,0.0027417746759720836,437,235
0.25,0.7368421052631579,0.05106382978723404,0.5346600331674959,0.0029910269192422734,437,235
0.255,0.7116704805491991,0.059574468085106386,0.4975124378109453,0.003489531405782652,437,235
0.26,0.6933638443935927,0.06382978723404255,0.4945273631840796,0.0037387836490528413,437,235
0.265,0.6727688787185355,0.06808510638297872,0.4593698175787728,0.010967098703888335,437,235
0.27,0.6567505720823799,0.07659574468085106,0.4235489220563847,0.011465603190428714,437,235
0.275,0.6430205949656751,0.0851063829787234,0.42122719734660036,0.011964107676969093,437,235
0.28,0.6270022883295194,0.08936170212765958,0.4185737976782753,0.03015952143569292,437,235
0.285,0.6064073226544623,0.08936170212765958,0.36849087893864013,0.03015952143569292,437,235
0.29,0.5949656750572082,0.09361702127659574,0.3409618573797678,0.04685942173479561,437,235
0.295,0.5812356979405034,0.09361702127659574,0.29187396351575456,0.04685942173479561,437,235
0.3,0.5537757437070938,0.09361702127659574,0.26235489220563846,0.04685942173479561,437,235
0.305,0.5354691075514875,0.09361702127659574,0.2593698175787728,0.04685942173479561,437,235
0.31,0.5148741418764302,0.09787234042553192,0.24344941956882254,0.047108673978065806,437,235
